itemCode,prodOrder,projectCode,customer,description,status
C1A2B25B021100,PD2308712,,Service Order,BA-02 คาน Feed CV-L2500,Completed
C5D1B12B021300,PD2308744,,Service Order,PB-02 ลูกเบี้ยว-1 D170-H35,Completed
Z670215Z101101,PD2408169,,Service Order,ชุดลูกปืนอาร์มพร้อมแกน NUTR17-A,Ready to Start
Z930101A011127,PD2408193,,Service Order,ชุดล้อตาม SRM,Ready to Start
B942023Z101101,PD2408242,,Service Order,A0001-03-048 เฟืองโซ่ 80-2 19 ฟัน,Completed
B942023Z101101,PD2408243,,Service Order,A0001-03-048 เฟืองโซ่ 80-2 19 ฟัน,Completed
B9420230099402,PD2408244,,Service Order,A0001-03-049 เฟืองโซ่ 80-2 15 ฟัน,Completed
B9420230099402,PD2408245,,Service Order,A0001-03-049 เฟืองโซ่ 80-2 15 ฟัน,Completed
C1H4D18C011000,PD2409772,,Service Order,CA-00 เฟืองโซ่ คู่มีดุม #50-2P-15ฟัน (STD AMW),Completed
C1H4D18C021000,PD2409773,,Service Order,CE-00 เฟืองโซ่ คู่มีดุม #50-2P-21ฟัน เพลา30มม (STD AMW),Completed
Z930101A011101,PD2409899,,Service Order,A0001-00-529 แบบประกอบตุ๊กตา,Active
MODJIG2301P017,PD2410491,,Service Order,Plate table for TM3,Completed
MODJIG2301P017,PD2500676,,Service Order,Plate table for TM3,Ready to Start
MODJIG2301P015,PD2501100,,Service Order,Plate table for VF7,Active
AS2300009,PD2506305,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,00-Assembly Lift ground,Ready to Start
LA115180000000,PD2506305,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,00-Assembly Lift ground,Ready to Start
AS2300009,PD2506306,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-1-Assembly lifting cradle,Ready to Start
LA11518A011000,PD2506306,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-1-Assembly lifting cradle,Ready to Start
AS2300009,PD2506307,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-56-Shaft drive sprocket,Completed
LA11518A021000,PD2506307,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-56-Shaft drive sprocket,Completed
AS2300009,PD2506308,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-57-เพลายึดกระเช้า-1,Ready to Start
LA11518A041000,PD2506308,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-57-เพลายึดกระเช้า-1,Ready to Start
LA11518A051000,PD2506309,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-117-รางไกด์-1,Ready to Start
AS2300009,PD2506309,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-117-รางไกด์-1,Ready to Start
AS2300009,PD2506310,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-96-แบบประกอบผนัง R มอเตอร์,Ready to Start
LA11518A061000,PD2506310,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-96-แบบประกอบผนัง R มอเตอร์,Ready to Start
AS2300009,PD2506311,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-74-แบบประกอบผนัง L,Ready to Start
LA11518A071000,PD2506311,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-74-แบบประกอบผนัง L,Ready to Start
AS2300009,PD2506312,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-66-แบบประกอบชุดหิ้ว-1,Ready to Start
LA11518A091000,PD2506312,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-66-แบบประกอบชุดหิ้ว-1,Ready to Start
AS2300009,PD2506313,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-54-Plate ยึดแกนสไลด์-2,Ready to Start
LA11518A101000,PD2506313,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-54-Plate ยึดแกนสไลด์-2,Ready to Start
AS2300009,PD2506314,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-60-แกนสไลด์แบบปรับ,Ready to Start
LA11518A121000,PD2506314,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-60-แกนสไลด์แบบปรับ,Ready to Start
AS2300009,PD2506315,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01--55-Plateยึดแกนสไลด์ปรับได้-3,Ready to Start
LA11518A131000,PD2506315,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01--55-Plateยึดแกนสไลด์ปรับได้-3,Ready to Start
LA11518A141000,PD2506316,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-58-เฟืองเพลาขับมอเตอร์-1,Ready to Start
AS2300009,PD2506316,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-58-เฟืองเพลาขับมอเตอร์-1,Ready to Start
AS2300009,PD2506317,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-116-แผ่นปิดท้ายเพลาขับมอเตอร์-1,Ready to Start
LA11518A151000,PD2506317,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-116-แผ่นปิดท้ายเพลาขับมอเตอร์-1,Ready to Start
AS2300009,PD2506318,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-120-ลิ่มเฟืองมอเตอร์-1,Ready to Start
LA11518A161000,PD2506318,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-120-ลิ่มเฟืองมอเตอร์-1,Ready to Start
AS2300009,PD2506319,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-118-ลิ่ม Motor lift-1,Ready to Start
LA11518A171000,PD2506319,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-118-ลิ่ม Motor lift-1,Ready to Start
AS2300009,PD2506320,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-64-แบบประกอบชุดดันโซ่บน-1,Ready to Start
LA11518A181000,PD2506320,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-64-แบบประกอบชุดดันโซ่บน-1,Ready to Start
AS2300009,PD2506321,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-5-Weld lifting cradle,Planned
LA11518A011200,PD2506321,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-5-Weld lifting cradle,Planned
AS2300009,PD2506322,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-2-Part support roller,Ready to Start
LA11518A014300,PD2506322,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-2-Part support roller,Ready to Start
AS2300009,PD2506323,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-3-Part support roller-R,Ready to Start
LA11518A011400,PD2506323,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-3-Part support roller-R,Ready to Start
AS2300009,PD2506324,AS2300009,Lift Ground (Jack screw) 6 Set 22/11/66-30/06/67,01-41-แบบประกอบชุดขาตั้งมอเตอร์-1,Ready to Start
