"Document number
 Reference",เลขที่โครงการ,ชื่อโครงการ,ประเภท,ชื่อเครื่องจักร,เลขที่ Item,ชื่อ Item,จำนวน,Production Order,"จำนวนPD
 /Act Line :",วันที่แจ้งดำเนินการ,เป้าหมายส่งมอบ 1,เป้าหมายส่งมอบ 2,เป้าหมายส่งมอบ 3,เป้าหมายส่งมอบ 4,เป้าหมายส่งมอบ 5,เป้าหมายล่าสุด,"PO/PR
 NO",หมายเหตุ,สถานะ,"Closed
 (*)"
,BDM250044,DH บุรีรัมย์,เอกสาร 04,MDPB-26-0165,B231221K131100,2-58 แกนยึด Encoder TRD-NH1000-RZ KOYO,4,PD2400326,,,14/7/2026,,,,,14/7/2026,,,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,Z670215Z011123,1-43 แกนยึดเฟืองโซ่ ตัวล่างคู่,4,PD2603204-3207,4,16/4/2026,17/7/2026,,,,,17/7/2026,,เข้าคลัง17/7/26 จัดส่งแล้ว 18/7/26 ฝากไปพร้อมงาน BRS รถบริษัท,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,Z670215Z011129,1-32 ปลอกดัน MC ไนล่อน,4,PD2603204-3207,,16/4/2026,17/7/2026,,,,,17/7/2026,,เข้าคลัง17/7/26 จัดส่งแล้ว 18/7/26 ฝากไปพร้อมงาน BRS รถบริษัท,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,Z670215Z011125,1-46 BUSH เฟืองโซ่ล่าง,4,PD2603204-3207,,16/4/2026,17/7/2026,,,,,17/7/2026,,เข้าคลัง17/7/26 จัดส่งแล้ว 18/7/26 ฝากไปพร้อมงาน BRS รถบริษัท,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,Z930103A011119,1-44 แกนยึดเฟืองโซ่ ตัวล่างเดี่ยว,4,BM2600186,,16/4/2026,17/7/2026,,,,,17/7/2026,,เข้าคลัง17/7/26 จัดส่งแล้ว 18/7/26 ฝากไปพร้อมงาน BRS รถบริษัท,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,2090805102,เฟืองโซ่ คู่มีดุม 2 ด้าน #60*15ฟัน DWG.Q0103-01-04,4,BM2600186,,16/4/2026,17/7/2026,,,,,17/7/2026,,ขอซื้อ ลง กทม -11/4/26 p-56798,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,2430320001,ลูกปืน เม็ดกลม 60 06 ZZ NTN,4,BM2600186,,16/4/2026,17/7/2026,,,,,17/7/2026,,11/4/26 p-56799,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,2090804102,เฟืองโซ่ คู่มีดุม 2 ด้าน #60*19ฟัน DWG.Q0103-01-05,4,BM2600186,,16/4/2026,17/7/2026,,,,,17/7/2026,,11/4/26 p-56800,ส่งแล้ว,*
EN 69-4-44,BDM250015,BDM GBH DC 01/04/2568-31/03/2569,เอกสาร 04,MDPB-26-0099,2430110003,ลูกปืน ROLLER NUP 208 EPC SKF,4,BM2600186,,16/4/2026,17/7/2026,,,,,17/7/2026,,11/4/26 p-56801,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2569,เอกสาร 04,MDPB-26-0063,B631526A011303,1-37 Shaft for Drive Wheel 1,1,PD2605058-PD2605060,3,15/6/2026,20/7/2026,23/7/2026,,,,23/7/2026,,จัดส่งแล้ว23/7/26 ออฟฟิศ กทม,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2570,เอกสาร 04,MDPB-26-0063,B631526A011304,1-38 Shaft for Idel Wheel 1,1,,,15/6/2026,20/7/2026,23/7/2026,,,,23/7/2026,,จัดส่งแล้ว23/7/26 ออฟฟิศ กทม,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2571,เอกสาร 04,MDPB-26-0063,B631526A011313,1-36 Wheel,2,,,15/6/2026,20/7/2026,23/7/2026,,,,23/7/2026,,จัดส่งแล้ว23/7/26 ออฟฟิศ กทม,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2572,เอกสาร 04,MDPB-26-0063,2T20200000,ตลับลูกปืน 22220EAD1C3,4,,,,20/7/2026,,,,,20/7/2026,,p-52918 คลังขอซื้อส่ง ลง กทม,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2573,เอกสาร 04,MDPB-26-0063,2C00800001,POWER LOCK PL120X165 AD-N TSUBAKI,2,,,,20/7/2026,,,,,20/7/2026,,p-52919,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2574,เอกสาร 04,MDPB-26-0063,2A01500001,LOCK WASHER AW20 NTN,4,,,,20/7/2026,,,,,20/7/2026,,p-52920,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2575,เอกสาร 04,MDPB-26-0063,2991400001,LOCK NUT AN20 NTN,4,,,,20/7/2026,,,,,20/7/2026,,p-52921,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2576,เอกสาร 04,MDPB-26-0063,2234100000,ซีลน้ำมัน TC 120-160-12 NBR,4,,,,20/7/2026,,,,,20/7/2026,,p-52922,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2577,เอกสาร 04,MDPB-26-0063,2480406400,สกรูหัวจม M8x1.25 x30 mm รมดำ แข็ง 12,24,,,,20/7/2026,,,,,20/7/2026,,p-52923,ส่งแล้ว,*
EN 69-6-11,BDM26002,BDM Dohome DC 23/12/2568-22/12/2578,เอกสาร 04,MDPB-26-0063,2480813100,สกรูหัวจม M16X2 X60 MM ชุบซิงค์ แข็ง12.9,16,,,,20/7/2026,,,,,20/7/2026,,p-52924,ส่งแล้ว,*
EN 69-5-67,BDM250028,BDM บุญถาวร 16/8/2568-15/8/2569,เอกสาร 04,MDBP-26-0126,Z930103A011142,2-19 ชุดล้อประคองกลาง,8,PD2604773,1,19/5/2026,25/6/2026,21/7/2026,23/7/2026,,,23/7/2026,,จัดส่งแล้ว 23/7/26 ออฟิศ กทม,ส่งแล้ว,*
