id,itemCode,itemName,projectCode,machineName,old_prodOrder,matched_prodOrder,status,source,matched_project
item-1,B231221K131100,2-58 แกนยึด Encoder TRD-NH1000-RZ KOYO,BDM250044,MDPB-26-0165,PD2400326,,UNMATCHED (Standard Buy Part),,
item-2,Z670215Z011123,1-43 แกนยึดเฟืองโซ่ ตัวล่างคู่,BDM250015,MDPB-26-0099,PD2603204-3207,PD2603206,MATCHED,Data (Exact Proj+Item),BDM250015
item-3,Z670215Z011129,1-32 ปลอกดัน MC ไนล่อน,BDM250015,MDPB-26-0099,PD2603204-3207,PD2603205,MATCHED,Data (Exact Proj+Item),BDM250015
item-4,Z670215Z011125,1-46 BUSH เฟืองโซ่ล่าง,BDM250015,MDPB-26-0099,PD2603204-3207,PD2603204,MATCHED,Data (Exact Proj+Item),BDM250015
item-5,Z930103A011119,1-44 แกนยึดเฟืองโซ่ ตัวล่างเดี่ยว,BDM250015,MDPB-26-0099,BM2600186,PD2603207,MATCHED,Data (Exact Proj+Item),BDM250015
item-6,2090805102,เฟืองโซ่ คู่มีดุม 2 ด้าน #60*15ฟัน DWG.Q0103-01-04,BDM250015,MDPB-26-0099,BM2600186,,UNMATCHED (Standard Buy Part),,
item-7,2430320001,ลูกปืน เม็ดกลม 60 06 ZZ NTN,BDM250015,MDPB-26-0099,BM2600186,"PD2606597, PD2604928, PD2520991 (+2 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),SO2500003
item-8,2090804102,เฟืองโซ่ คู่มีดุม 2 ด้าน #60*19ฟัน DWG.Q0103-01-05,BDM250015,MDPB-26-0099,BM2600186,,UNMATCHED (Standard Buy Part),,
item-9,2430110003,ลูกปืน ROLLER NUP 208 EPC SKF,BDM250015,MDPB-26-0099,BM2600186,PD2521483,MATCHED,Plan+Mat (Item/Mat Code),
item-10,B631526A011303,1-37 Shaft for Drive Wheel 1,BDM26002,MDPB-26-0063,PD2605058-PD2605060,,UNMATCHED (Standard Buy Part),,
item-11,B631526A011304,1-38 Shaft for Idel Wheel 1,BDM26002,MDPB-26-0063,,PD2604595,MATCHED,Data (Item Code),SO2600001
item-12,B631526A011313,1-36 Wheel,BDM26002,MDPB-26-0063,,,UNMATCHED (Standard Buy Part),,
item-13,2T20200000,ตลับลูกปืน 22220EAD1C3,BDM26002,MDPB-26-0063,,"PD2604568, PD2604567, PD2601355 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-14,2C00800001,POWER LOCK PL120X165 AD-N TSUBAKI,BDM26002,MDPB-26-0063,,"PD2604568, PD2604567, PD2601355 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-15,2A01500001,LOCK WASHER AW20 NTN,BDM26002,MDPB-26-0063,,"PD2604568, PD2604567, PD2601355 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-16,2991400001,LOCK NUT AN20 NTN,BDM26002,MDPB-26-0063,,"PD2604568, PD2604567, PD2601355 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-17,2234100000,ซีลน้ำมัน TC 120-160-12 NBR,BDM26002,MDPB-26-0063,,"PD2604568, PD2604567, PD2601355 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-18,2480406400,สกรูหัวจม M8x1.25 x30 mm รมดำ แข็ง 12,BDM26002,MDPB-26-0063,,,UNMATCHED (Standard Buy Part),,
item-19,2480813100,สกรูหัวจม M16X2 X60 MM ชุบซิงค์ แข็ง12.9,BDM26002,MDPB-26-0063,,"PD2604566, PD2601355, PD2601354 (+2 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),MA2400053
item-20,Z930103A011142,2-19 ชุดล้อประคองกลาง,BDM250028,MDBP-26-0126,PD2604773,,UNMATCHED (Standard Buy Part),,
item-21,B9420230499202,A0001-00-505 ประกอบล้อประครองบน,BDM250028,MDBP-26-0126,PD2604772,,UNMATCHED (Standard Buy Part),,
item-22,7020204104,เทปกันลื่น สีดำ ANTI SLIP TAPE หน้ากว้าง 50CM. ยาว 18M,BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-23,E010102001,น้ำมัน เกียร์ # 220 บรรจุ 20ลิตร Shell Omala,BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-24,E010104001,น้ำมัน เกียร์ SHELL OMALA S2 GX 150 บรรจุ 20ลิตร,BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-25,F370801001,"พัดลมระบายอากาศ 4.5"" รุ่น WB123H7PS-A2L-G WINDSTORM",BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-26,F363805003,"อินเวอร์เตอร์ FR-E840-1.5K-1 E800 Series, 400V, 1.5Kw MITSUBISHI",BDM250028,MDBP-26-0126,,"PD2607123, PD2607122, PD2602179 (+4 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),SO2500003
item-27,F340208000,เซนเซอร์ Reflextor PRK5B/2 (รุ่นใหม่) + TKS 60X40,BDM250028,MDBP-26-0126,,"PD2607315, PD2607314, PD2602456 (+3 คำสั่งผลิต)",MATCHED,Plan+Mat (Item/Mat Code),SO2500003
item-28,FI50100002,แผ่นสะท้อน TKS 40X60 LEUZE,BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-29,F340133002,เซนเซอร์ แบบ Photo LS5B/9 PN : 50145238 + LE5B/N PN : 50145228,BDM250028,MDBP-26-0126,,,UNMATCHED (Standard Buy Part),,
item-30,B942023Z011107,EN-01-00 ชุดล้อขับ SRM 2ARM SD,BDM260010,MDPB-26-0112,PD2603618-PD2603636,PD2603618,MATCHED,Data (Exact Proj+Item),BDM260010
